City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Leu,-21.15,55.2833,78.8,57,0,3.44,RE,2021-01-09 03:19:03
1,Ushuaia,-54.8,-68.3,55.4,44,40,16.11,AR,2021-01-09 03:19:03
2,Solnechnyy,50.7214,136.6319,-12.12,80,100,2.77,RU,2021-01-09 03:19:04
3,Hilo,19.7297,-155.09,77.0,69,40,5.75,US,2021-01-09 03:17:22
4,Kanniyakumari,8.0833,77.5667,80.06,79,97,18.79,IN,2021-01-09 03:19:04
5,Tiksi,71.6872,128.8694,-14.28,89,100,12.71,RU,2021-01-09 03:19:04
6,Jamestown,42.097,-79.2353,21.99,93,20,5.75,US,2021-01-09 03:19:04
7,Butaritari,3.0707,172.7902,80.96,82,100,19.53,KI,2021-01-09 03:19:05
8,Port Lincoln,-34.7333,135.8667,78.21,46,0,7.76,AU,2021-01-09 03:19:05
9,Khatanga,71.9667,102.5,-18.06,88,100,7.74,RU,2021-01-09 03:19:05
10,Luderitz,-26.6481,15.1594,65.52,70,0,15.66,NA,2021-01-09 03:19:05
11,Bredasdorp,-34.5322,20.0403,60.8,94,22,3.44,ZA,2021-01-09 03:18:18
12,Upernavik,72.7868,-56.1549,8.06,73,100,6.44,GL,2021-01-09 03:19:06
13,Hobart,-42.8794,147.3294,81.0,52,20,19.57,AU,2021-01-09 03:18:27
14,Albany,42.6001,-73.9662,19.99,74,4,1.01,US,2021-01-09 03:17:01
15,Merauke,-8.4667,140.3333,84.94,71,100,6.55,ID,2021-01-09 03:19:07
16,Hithadhoo,-0.6,73.0833,81.63,78,44,13.06,MV,2021-01-09 03:19:07
17,Avarua,-21.2078,-159.775,84.2,65,20,9.22,CK,2021-01-09 03:18:14
18,Atuona,-9.8,-139.0333,77.88,73,10,19.48,PF,2021-01-09 03:19:07
19,Laguna,38.421,-121.4238,48.2,87,1,5.75,US,2021-01-09 03:16:58
20,Tias,28.9611,-13.645,55.4,76,0,4.61,ES,2021-01-09 03:19:08
21,Lebu,-37.6167,-73.65,54.07,81,69,14.63,CL,2021-01-09 03:19:08
22,Punta Arenas,-53.15,-70.9167,50.0,66,75,16.11,CL,2021-01-09 03:19:08
23,Seoul,37.5683,126.9778,15.8,35,40,4.61,KR,2021-01-09 03:18:18
24,Tilichiki,60.4667,166.1,-1.39,89,19,10.11,RU,2021-01-09 03:19:08
25,Rikitea,-23.1203,-134.9692,79.11,73,74,11.72,PF,2021-01-09 03:19:09
26,Bandarbeyla,9.4942,50.8122,74.35,71,73,21.25,SO,2021-01-09 03:19:09
27,Sembe,1.6481,14.5806,70.02,88,0,3.2,CG,2021-01-09 03:19:09
28,Busselton,-33.65,115.3333,97.0,27,42,4.0,AU,2021-01-09 03:19:09
29,Roscommon,53.6333,-8.1833,28.27,96,23,1.7,IE,2021-01-09 03:19:09
30,San Cristobal,7.7669,-72.225,64.62,80,92,2.66,VE,2021-01-09 03:19:10
31,Tasiilaq,65.6145,-37.6368,12.2,57,0,6.91,GL,2021-01-09 03:19:10
32,Nome,64.5011,-165.4064,-0.4,71,90,9.22,US,2021-01-09 03:19:10
33,Dikson,73.5069,80.5464,-12.69,87,0,11.86,RU,2021-01-09 03:19:10
34,Kruisfontein,-34.0033,24.7314,69.01,92,5,1.99,ZA,2021-01-09 03:19:10
35,Samoded,63.6083,40.5111,-14.06,89,63,2.44,RU,2021-01-09 03:19:11
36,Isangel,-19.55,169.2667,82.4,89,90,6.33,VU,2021-01-09 03:19:11
37,Bubaque,11.2833,-15.8333,79.2,71,0,13.13,GW,2021-01-09 03:19:11
38,Adrar,20.5022,-10.0711,67.93,44,0,8.48,MR,2021-01-09 03:19:11
39,Abu Kamal,34.4506,40.9171,46.74,48,100,0.83,SY,2021-01-09 03:19:12
40,Tual,-5.6667,132.75,83.55,77,98,7.76,ID,2021-01-09 03:19:12
41,Mar Del Plata,-38.0023,-57.5575,60.01,82,0,3.44,AR,2021-01-09 03:19:07
42,Brigantine,39.4101,-74.3646,33.01,74,1,3.44,US,2021-01-09 03:19:12
43,Monmouth,40.3001,-74.1663,33.01,64,1,12.66,US,2021-01-09 03:19:12
44,Katsuura,35.1333,140.3,45.0,22,7,1.99,JP,2021-01-09 03:19:13
45,Dunedin,-45.8742,170.5036,62.22,61,85,14.38,NZ,2021-01-09 03:19:13
46,Negombo,7.2083,79.8358,75.2,100,90,4.61,LK,2021-01-09 03:19:13
47,Qaanaaq,77.484,-69.3632,1.27,88,100,9.4,GL,2021-01-09 03:17:32
48,Lavrentiya,65.5833,-171.0,-12.84,83,0,3.74,RU,2021-01-09 03:19:14
49,Storslett,69.7678,21.0247,15.13,84,0,13.8,NO,2021-01-09 03:19:14
50,Kibuye,-2.0597,29.3482,64.94,81,86,4.5,RW,2021-01-09 03:19:14
51,Kambove,-10.8764,26.5969,61.7,99,100,1.14,CD,2021-01-09 03:19:15
52,Broome,42.2506,-75.833,19.99,86,75,11.5,US,2021-01-09 03:16:00
53,Klaksvik,62.2266,-6.589,44.6,100,90,12.66,FO,2021-01-09 03:19:15
54,Bluff,-46.6,168.3333,61.0,70,99,15.01,NZ,2021-01-09 03:19:15
55,Port Alfred,-33.5906,26.891,71.01,95,10,4.63,ZA,2021-01-09 03:19:16
56,Castro,-24.7911,-50.0119,64.06,97,99,7.63,BR,2021-01-09 03:19:16
57,Vaini,-21.2,-175.2,84.2,84,40,9.22,TO,2021-01-09 03:19:16
58,Nikolskoye,59.7035,30.7861,12.99,79,0,2.24,RU,2021-01-09 03:19:16
59,Beihai,21.4833,109.1,49.05,47,95,12.68,CN,2021-01-09 03:19:16
60,Vila Velha,-20.3297,-40.2925,79.0,83,75,8.05,BR,2021-01-09 03:16:21
61,Kaitangata,-46.2817,169.8464,62.01,60,66,15.99,NZ,2021-01-09 03:19:17
62,Port Elizabeth,-33.918,25.5701,69.8,94,90,5.75,ZA,2021-01-09 03:19:17
63,Daru,-9.0763,143.2092,86.09,71,100,4.29,PG,2021-01-09 03:19:17
64,Hermanus,-34.4187,19.2345,64.0,84,0,1.99,ZA,2021-01-09 03:19:17
65,Yellowknife,62.456,-114.3525,-2.2,78,1,5.75,CA,2021-01-09 03:19:18
66,Chokurdakh,70.6333,147.9167,-20.43,89,93,3.42,RU,2021-01-09 03:19:18
67,Hanmer Springs,-42.5167,172.8167,72.46,48,63,4.59,NZ,2021-01-09 03:19:18
